Edad,Edad0,Edad1,Edad2,Genero,Postgrado,Residencia,Interes,Empleo,Empleo0,Empleo1,Modo,Modo1,Modo0,Motivadores,Conocimientos,Atributos
45 o mas,0,0,1,0,1,1,1,Independiente / Emprendedor,1,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;,Emprendimiento tecnologico;Propiedad intelectual y patentes;Innovacion y desarrollo de productos;,Calidad del cuerpo docente;Posibilidad de beca o financiamiento;Prestigio académico de la institución;
45 o mas,0,0,1,0,1,0,0,Independiente / Emprendedor,1,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;,Financiamiento y levantamiento de capital;Vinculación con el ecosistema de innovación;Liderazgo y gestión de equipos;,Prestigio académico de la institución;Duracion del programa;Redes de contacto y vinculación;
45 o mas,0,0,1,0,1,1,0,Independiente / Emprendedor,1,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;,Emprendimiento tecnologico;,Costo total del programa;
Menos de 25,0,0,0,1,0,0,1,Independiente / Emprendedor,1,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Emprendimiento tecnologico;Propiedad intelectual y patentes;Liderazgo y gestión de equipos;,Posibilidad de beca o financiamiento;Redes de contacto y vinculación;Calidad del cuerpo docente;
25-34,1,0,0,1,0,0,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Aumentar mi remuneracion;,Propiedad intelectual y patentes;Liderazgo y gestión de equipos;Financiamiento y levantamiento de capital;,Costo total del programa;Redes de contacto y vinculación;Posibilidad de beca o financiamiento;
25-34,1,0,0,1,0,1,0,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;,Prestigio académico de la institución;Posibilidad de beca o financiamiento;Calidad del cuerpo docente;
25-34,1,0,0,0,0,0,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;,Liderazgo y gestión de equipos;Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Calidad del cuerpo docente;Costo total del programa;Posibilidad de beca o financiamiento;
34-44,0,1,0,1,1,0,0,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Cambiar de area laboral;,Innovacion y desarrollo de productos;Liderazgo y gestión de equipos;Propiedad intelectual y patentes;,Costo total del programa;Posibilidad de beca o financiamiento;Calidad del cuerpo docente;
45 o mas,0,0,1,1,0,1,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Cambiar de area laboral;,Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Prestigio académico de la institución;Calidad del cuerpo docente;
45 o mas,0,0,1,1,0,1,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;Emprendimiento tecnologico;Vinculación con el ecosistema de innovación;,Prestigio académico de la institución;Duracion del programa;Costo total del programa;
45 o mas,0,0,1,0,1,1,0,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;Avanzar en mi carrera profesional;,Emprendimiento tecnologico;Vinculación con el ecosistema de innovación;Liderazgo y gestión de equipos;,Costo total del programa;Calidad del cuerpo docente;Redes de contacto y vinculación;
Menos de 25,0,0,0,0,0,0,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Adquirir conocimientos especializados;,Propiedad intelectual y patentes;Innovacion y desarrollo de productos;Emprendimiento tecnologico;,Prestigio académico de la institución;Costo total del programa;Duracion del programa;
Menos de 25,0,0,0,0,0,0,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Adquirir conocimientos especializados;,Liderazgo y gestión de equipos;,Prestigio académico de la institución;Calidad del cuerpo docente;Redes de contacto y vinculación;
Menos de 25,0,0,0,0,0,0,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;,Innovacion y desarrollo de productos;Financiamiento y levantamiento de capital;Liderazgo y gestión de equipos;,Prestigio académico de la institución;Redes de contacto y vinculación;Posibilidad de beca o financiamiento;
Menos de 25,0,0,0,0,0,1,1,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Aumentar mi remuneracion;,Financiamiento y levantamiento de capital;Propiedad intelectual y patentes;Innovacion y desarrollo de productos;,Prestigio académico de la institución;Costo total del programa;Duracion del programa;
Menos de 25,0,0,0,0,0,1,0,Otra,0,0,Semipresencial (una actividad al trimestre),0,1,Avanzar en mi carrera profesional;Aumentar mi remuneracion;,Emprendimiento tecnologico;Liderazgo y gestión de equipos;Financiamiento y levantamiento de capital;,Calidad del cuerpo docente;Duracion del programa;Costo total del programa;
